,Names of cities
0,Aparecida
1,Arapeí
2,Areias
3,Bananal
4,Caçapava
5,Cachoeira Paulista
6,Campos do Jordão
7,Canas
8,Caraguatatuba
9,Cruzeiro
10,Cunha
11,Guaratinguetá
12,Igaratá
13,Ilhabela
14,Jacareí
15,Jambeiro
16,Lagoinha
17,Lavrinhas
18,Lorena
19,Monteiro Lobato
20,Natividade da Serra
21,Paraibuna
22,Pindamonhangaba
23,Piquete
24,Potim
25,Queluz
26,Redenção da Serra
27,Roseira
28,Santa Branca
29,Santo Antônio do Pinhal
30,São Bento do Sapucaí
31,São José do Barreiro
32,São José dos Campos
33,São Luiz do Paraitinga
34,São Sebastião
35,Silveiras
36,Taubaté
37,Tremembé
38,Ubatuba
